,Academic Year,County Code,District Code,County Name,District Name,Charter School,DASS,Reporting Category,Cumulative Enrollment,Homeless Student Enrollment,Temporarily Doubled Up,Temporary Shelters,Hotels/Motels,Temporarily Unsheltered,Missing/Unknown,Temporarily Doubled Up (percent),Temporary Shelters (percent),Hotels/Motels (percent),Temporarily Unsheltered (percent),Missing/Unknown (percent)
64,2019-20,7,61788.0,Contra Costa,Pittsburg Unified,All,All,TA,11952,185,110,28,31,14,2,59.5,15.1,16.8,7.6,1.1
65,2019-20,7,61804.0,Contra Costa,San Ramon Valley Unified,All,All,TA,32585,42,35,3,3,1,0,83.3,7.1,7.1,2.4,0.0
66,2019-20,7,77024.0,Contra Costa,SBE - Rocketship Futuro Academy,All,All,TA,550,14,12,2,0,0,0,85.7,14.3,0.0,0.0,0.0
67,2019-20,7,61812.0,Contra Costa,Walnut Creek Elementary,All,All,TA,3728,5,4,1,0,0,0,80.0,20.0,0.0,0.0,0.0
68,2019-20,7,61796.0,Contra Costa,West Contra Costa Unified,All,All,TA,33440,955,706,137,74,37,1,73.9,14.3,7.7,3.9,0.1
69,2019-20,8,10082.0,Del Norte,Del Norte County Office of Education,All,All,TA,540,41,33,1,7,0,0,80.5,2.4,17.1,0.0,0.0
70,2019-20,8,61820.0,Del Norte,Del Norte County Unified,All,All,TA,4161,235,161,44,26,4,0,68.5,18.7,11.1,1.7,0.0
71,2019-20,9,73783.0,El Dorado,Black Oak Mine Unified,All,All,TA,1363,73,63,6,4,0,0,86.3,8.2,5.5,0.0,0.0
72,2019-20,9,61838.0,El Dorado,Buckeye Union Elementary,All,All,TA,9417,56,39,0,9,8,0,69.6,0.0,16.1,14.3,0.0
73,2019-20,9,61846.0,El Dorado,Camino Union Elementary,All,All,TA,469,23,18,2,3,0,0,78.3,8.7,13.0,0.0,0.0
74,2019-20,9,10090.0,El Dorado,El Dorado County Office of Education,All,All,TA,2090,41,34,4,1,1,1,82.9,9.8,2.4,2.4,2.4
75,2019-20,9,61853.0,El Dorado,El Dorado Union High,All,All,TA,6984,86,67,5,9,5,0,77.9,5.8,10.5,5.8,0.0
76,2019-20,9,61879.0,El Dorado,Gold Oak Union Elementary,All,All,TA,500,13,12,1,0,0,0,92.3,7.7,0.0,0.0,0.0
77,2019-20,9,61887.0,El Dorado,Gold Trail Union Elementary,All,All,TA,682,29,26,0,3,0,0,89.7,0.0,10.3,0.0,0.0
78,2019-20,9,61895.0,El Dorado,Indian Diggings Elementary,All,All,TA,23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
79,2019-20,9,61903.0,El Dorado,Lake Tahoe Unified,All,All,TA,4032,211,120,12,64,14,1,56.9,5.7,30.3,6.6,0.5
80,2019-20,9,61911.0,El Dorado,Latrobe,All,All,TA,159,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
81,2019-20,9,61929.0,El Dorado,Mother Lode Union Elementary,All,All,TA,1096,90,67,2,7,14,0,74.4,2.2,7.8,15.6,0.0
82,2019-20,9,61945.0,El Dorado,Pioneer Union Elementary,All,All,TA,308,12,10,0,0,2,0,83.3,0.0,0.0,16.7,0.0
83,2019-20,9,61952.0,El Dorado,Placerville Union Elementary,All,All,TA,1389,81,64,12,5,0,0,79.0,14.8,6.2,0.0,0.0
84,2019-20,9,61960.0,El Dorado,Pollock Pines Elementary,All,All,TA,687,29,24,2,3,0,0,82.8,6.9,10.3,0.0,0.0
85,2019-20,9,61978.0,El Dorado,Rescue Union Elementary,All,All,TA,3763,21,18,0,3,0,0,85.7,0.0,14.3,0.0,0.0
86,2019-20,9,61986.0,El Dorado,Silver Fork Elementary,All,All,TA,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
87,2019-20,10,61994.0,Fresno,Alvina Elementary,All,All,TA,203,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
88,2019-20,10,62026.0,Fresno,Big Creek Elementary,All,All,TA,49,2,2,0,0,0,0,100.0,0.0,0.0,0.0,0.0
89,2019-20,10,62042.0,Fresno,Burrel Union Elementary,All,All,TA,140,13,12,1,0,0,0,92.3,7.7,0.0,0.0,0.0
90,2019-20,10,75598.0,Fresno,Caruthers Unified,All,All,TA,1623,17,15,1,1,0,0,88.2,5.9,5.9,0.0,0.0
91,2019-20,10,73965.0,Fresno,Central Unified,All,All,TA,16756,41,18,11,5,7,0,43.9,26.8,12.2,17.1,0.0
92,2019-20,10,62109.0,Fresno,Clay Joint Elementary,All,All,TA,249,4,4,0,0,0,0,100.0,0.0,0.0,0.0,0.0
93,2019-20,10,62117.0,Fresno,Clovis Unified,All,All,TA,45118,112,74,17,19,0,2,66.1,15.2,17.0,0.0,1.8
94,2019-20,10,62125.0,Fresno,Coalinga-Huron Unified,All,All,TA,4758,80,66,1,12,0,1,82.5,1.3,15.0,0.0,1.3
95,2019-20,10,73809.0,Fresno,Firebaugh-Las Deltas Unified,All,All,TA,2350,29,27,0,2,0,0,93.1,0.0,6.9,0.0,0.0
96,2019-20,10,62158.0,Fresno,Fowler Unified,All,All,TA,2746,18,12,0,6,0,0,66.7,0.0,33.3,0.0,0.0
97,2019-20,10,10108.0,Fresno,Fresno County Office of Education,All,All,TA,6020,175,131,12,6,22,4,74.9,6.9,3.4,12.6,2.3
98,2019-20,10,62166.0,Fresno,Fresno Unified,All,All,TA,76943,801,418,149,190,42,2,52.2,18.6,23.7,5.2,0.2
99,2019-20,10,75234.0,Fresno,Golden Plains Unified,All,All,TA,1682,89,78,0,0,11,0,87.6,0.0,0.0,12.4,0.0
100,2019-20,10,73999.0,Fresno,Kerman Unified,All,All,TA,5490,134,125,0,2,6,1,93.3,0.0,1.5,4.5,0.7
101,2019-20,10,62265.0,Fresno,Kings Canyon Joint Unified,All,All,TA,10175,33,15,17,1,0,0,45.5,51.5,3.0,0.0,0.0
102,2019-20,10,62240.0,Fresno,Kingsburg Elementary Charter,All,All,TA,2290,331,316,4,1,6,4,95.5,1.2,0.3,1.8,1.2
103,2019-20,10,62257.0,Fresno,Kingsburg Joint Union High,All,All,TA,1246,74,66,1,1,6,0,89.2,1.4,1.4,8.1,0.0
104,2019-20,10,62281.0,Fresno,Laton Joint Unified,All,All,TA,690,10,10,0,0,0,0,100.0,0.0,0.0,0.0,0.0
105,2019-20,10,75127.0,Fresno,Mendota Unified,All,All,TA,3820,103,103,0,0,0,0,100.0,0.0,0.0,0.0,0.0
106,2019-20,10,62323.0,Fresno,Monroe Elementary,All,All,TA,181,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
107,2019-20,10,62331.0,Fresno,Orange Center,All,All,TA,1481,17,8,0,8,1,0,47.1,0.0,47.1,5.9,0.0
108,2019-20,10,62356.0,Fresno,Pacific Union Elementary,All,All,TA,410,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
109,2019-20,10,62364.0,Fresno,Parlier Unified,All,All,TA,3690,225,219,0,0,2,4,97.3,0.0,0.0,0.9,1.8
110,2019-20,10,62372.0,Fresno,Pine Ridge Elementary,All,All,TA,121,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
111,2019-20,10,62380.0,Fresno,Raisin City Elementary,All,All,TA,679,31,25,4,1,0,1,80.6,12.9,3.2,0.0,3.2
112,2019-20,10,75408.0,Fresno,Riverdale Joint Unified,All,All,TA,1633,60,60,0,0,0,0,100.0,0.0,0.0,0.0,0.0
113,2019-20,10,62414.0,Fresno,Sanger Unified,All,All,TA,13074,139,119,3,14,2,1,85.6,2.2,10.1,1.4,0.7
114,2019-20,10,62430.0,Fresno,Selma Unified,All,All,TA,6519,84,77,3,3,1,0,91.7,3.6,3.6,1.2,0.0
115,2019-20,10,75275.0,Fresno,Sierra Unified,All,All,TA,1333,30,26,2,0,2,0,86.7,6.7,0.0,6.7,0.0
116,2019-20,10,62513.0,Fresno,Washington Colony Elementary,All,All,TA,484,8,8,0,0,0,0,100.0,0.0,0.0,0.0,0.0
